epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6125,1.51569,2.48647,2.77122,1.4582,0.03192,0.02055,0.004,0.00132,0.03976,0.02055,0.00643,0.00234,3.04525,9.08083,5.09927,3.09934,0.000659091,0.000659091,0.000659091
2,47.8229,1.41142,1.80397,1.42783,1.36568,0.39052,0.63014,0.40478,0.18711,0.44995,0.72603,0.53384,0.25084,2.03831,2.67484,7.78847,2.62234,0.00131263,0.00131263,0.00131263
3,68.8646,1.45321,1.78125,1.23206,1.36188,0.67039,0.55479,0.64548,0.30779,0.66679,0.56849,0.63484,0.26938,1.80243,5.3637,3.50294,1.90992,0.00195297,0.00195297,0.00195297
4,90.8066,1.43885,1.87961,1.26713,1.31906,0.91416,0.84932,0.909,0.48835,0.90934,0.89313,0.94158,0.57639,1.5417,1.64199,1.42185,1.54553,0.0019406,0.0019406,0.0019406
5,112.514,1.32783,1.64426,1.07783,1.29442,0.87956,0.90039,0.90799,0.50041,0.97064,0.90561,0.96387,0.4842,1.43858,2.3868,1.21376,1.45993,0.0019208,0.0019208,0.0019208
6,133.443,1.3164,1.75421,1.06962,1.28236,0.64253,0.68493,0.71127,0.4218,0.66545,0.66438,0.721,0.42076,1.42702,1.51302,1.41707,1.47005,0.001901,0.001901,0.001901
7,155.274,1.20612,1.59452,0.94242,1.21518,0.94751,0.93151,0.97027,0.66641,0.94751,0.93151,0.97054,0.65658,1.09602,1.44441,0.74154,1.2351,0.0018812,0.0018812,0.0018812
8,177.116,1.18813,1.58714,0.88983,1.2042,0.92007,0.78847,0.88311,0.56868,0.92757,0.78943,0.84749,0.54633,1.30599,1.7941,1.01944,1.34403,0.0018614,0.0018614,0.0018614
9,197.959,1.14528,1.5191,0.83209,1.16911,0.8723,0.84214,0.91768,0.6671,0.92185,0.88877,0.96103,0.66601,1.04623,1.25575,0.81043,1.19325,0.0018416,0.0018416,0.0018416
10,219.925,1.16044,1.52559,0.83619,1.1783,0.93538,0.93151,0.96704,0.69515,0.96341,0.9589,0.97533,0.66088,1.06434,1.31864,0.70493,1.16231,0.0018218,0.0018218,0.0018218
11,241.711,1.15706,1.48061,0.80563,1.18094,0.933,0.97945,0.98618,0.75072,0.933,0.97945,0.98618,0.6956,0.94905,1.29837,0.59683,1.11919,0.001802,0.001802,0.001802
12,262.754,1.03752,1.39084,0.73455,1.1249,0.91266,0.93048,0.96185,0.67725,0.9261,0.94418,0.97352,0.65856,1.05958,1.24101,0.66018,1.19379,0.0017822,0.0017822,0.0017822
